Reporting period,Organization,Organisation Type,Cluster,Main Activity,Implementing Partners,Type of Relief materials,Mode of delivery,Region,District,Pcode,Traditional_Authority,Village,Camp,Start_date,End_date,Status,Program Type,Total Beneficiaries,Total Male Beneficiaries,Total Female Beneficiaries,Beneficiary Type,Comment
30 Apr 2019,FAO,UN Agency,Agriculture,Agriculture Kits,,"3,000 Agriculture Irrigation Kits (2 Kg Maize, 20 Kg Fertilizer, 2Kg Legumes, assorted vegetables) + Irrigation simple equipment",in-kind,Southern Region,Chikwawa,MW310,,,,22-Mar-19,31-Aug-19,Ongoing,Early Recovery,3000,,,Small-scale farmers with access to irrigated fields (0.1 Ha/each) or residual moisture,
30 Apr 2019,FAO,UN Agency,Agriculture,Agriculture Kits,,"4,000 Agriculture Irrigation Kits (2 Kg Maize, 20 Kg Fertilizer, 2Kg Legumes, assorted vegetables) + Irrigation simple equipment",in-kind,Southern Region,Nsanje,MW311,,,,22-Mar-19,31-Aug-19,Ongoing,Early Recovery,4000,,,Small-scale farmers with access to irrigated fields (0.1 Ha/each) or residual moisture,
30 Apr 2019,FAO,UN Agency,Agriculture,Agriculture Kits,,"5,000 Agriculture Irrigation Kits (2 Kg Maize, 20 Kg Fertilizer, 2Kg Legumes, assorted vegetables) + Irrigation simple equipment",in-kind,Southern Region,Phalombe,MW309,,,,22-Mar-19,31-Aug-19,Ongoing,Early Recovery,5000,,,Small-scale farmers with access to irrigated fields (0.1 Ha/each) or residual moisture,
30 Apr 2019,FAO,UN Agency,Agriculture,Agriculture Kits,,"1,000 Agriculture Irrigation Kits (2 Kg Maize, 20 Kg Fertilizer, 2Kg Legumes, assorted vegetables) + Irrigation simple equipment",in-kind,Southern Region,Neno,MW313,,,,22-Mar-19,31-Aug-19,Ongoing,Early Recovery,1000,,,Small-scale farmers with access to irrigated fields (0.1 Ha/each) or residual moisture,
30 Apr 2019,FAO,UN Agency,Agriculture,Agriculture Kits,,"1,000 Agriculture Irrigation Kits (2 Kg Maize, 20 Kg Fertilizer, 2Kg Legumes, assorted vegetables) + Irrigation simple equipment",in-kind,Southern Region,Blantyre,MW305,,,,22-Mar-19,31-Aug-19,Ongoing,Early Recovery,1000,,,Small-scale farmers with access to irrigated fields (0.1 Ha/each) or residual moisture,
30 Apr 2019,FAO,UN Agency,Agriculture,Agriculture Kits,,"1,000 Agriculture Irrigation Kits (2 Kg Maize, 20 Kg Fertilizer, 2Kg Legumes, assorted vegetables) + Irrigation simple equipment",in-kind,Southern Region,Zomba,MW303,,,,22-Mar-19,31-Aug-19,Ongoing,Early Recovery,1000,,,Small-scale farmers with access to irrigated fields (0.1 Ha/each) or residual moisture,
30 Apr 2019,Save the Children,International NGO,Education,Education kits,,"12000 each of notebooks, pens, pencils and packets of crayons, 15 boxes of white chalk, 15 boxes of coloured chalk",in-kind,Southern Region,Chikwawa,MW310,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,Save the Children,International NGO,Education,Education kits,,"Provision of TLMs, Minor rehab of damaged facilities, WASH in schools, Teacher training on protection",in-kind,Southern Region,Phalombe,MW309,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,Save the Children,International NGO,Education,Education kits,,"Provision of TLMs, Minor rehab of damaged facilities, WASH in schools, Teacher training on protection",in-kind,Southern Region,Zomba,MW303,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,Save the Children,International NGO,Education,Education kits,,"Provision of TLMs, Minor rehab of damaged facilities, WASH in schools, Teacher training on protection",in-kind,Southern Region,Chikwawa,MW310,,,,,,Ongoing,Emergency Response,,,,,
30 Apr 2019,Save the Children,International NGO,Education,Education kits,,"Provision of TLMs, Minor rehab of damaged facilities, WASH in schools, Teacher training on protection",in-kind,Southern Region,Mwanza,MW306,,,,,,Planned,,,,,,
30 Apr 2019,DoDMA,Government,Food Security,Food assistance,,"Food (Maize flour, Salt, soya pieces, rice)",in-kind,Southern Region,Nsanje,MW311,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,"Food (maize flour, cooking oil, salt, sugar, soya pieces)",in-kind,Southern Region,Nsanje,MW311,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,DoDMA,Government,Food Security,Food assistance,,"Provision of 2,400 (50kg) bags of maize, 500(15kg) bags of rice, 200 (50kg) bags of rice, 200 kg of salt",in-kind,Southern Region,Phalombe,MW309,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Food Security,Food assistance,,"150 kg maize flour, 5 bales of sugar and 5 bales of salt and 25 litres of cooking oil",in-kind,Southern Region,Phalombe,MW309,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,Indian Community,Private Company/Institution,Food Security,Food assistance,,"400 (10 kg) maize flour, 400 (3 kg) packets of rice, 400 packets of candles, 400 (2 litres) of cooking oil",,Southern Region,Phalombe,MW309,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,Save the Children,International NGO,Food Security,MPCT,,,,Southern Region,Phalombe,MW309,,,,,,Planned,Emergency Response,,,,,
30 Apr 2019,Save the Children,International NGO,Food Security,MPCT,,,,Southern Region,Zomba,MW303,,,,,,Planned,Emergency Response,,,,,
30 Apr 2019,Save the Children,International NGO,Food Security,MPCT,,,,Southern Region,Chikwawa,MW310,,,,,,Planned,Emergency Response,,,,,
30 Apr 2019,Save the Children,International NGO,Food Security,MPCT,,,,Southern Region,Neno,MW313,,,,,,Planned,Emergency Response,,,,,
30 Apr 2019,Help Age,International NGO,Food Security,Provision of food basket,GOAL,"1750 food baskets each containing 25kg Maize flour, 10 pkts Soya pieces, 2kg Sugar, 1kg Salt, 2ltrs cooking oil",in-kind,Southern Region,Nsanje,MW311,TA Mbenje,,"Ngabu, Ndiola, Bangula, Old Council Resthouse, Dinde, Lalanje and Phokera camps",15-Mar-19,1-May-19,Planned,Emergency Response,8467,,,General population,
30 Apr 2019,Help Age,International NGO,Food Security,Provision of food basket,Islami Relief,"1750 food baskets each containing 25kg Maize flour, 10 pkts Soya pieces, 2kg Sugar, 1kg Salt, 2ltrs cooking oil",in-kind,Southern Region,Chikwawa,MW310,,,,15-Mar-19,1-May-19,Ongoing,Emergency Response,8467,,,General population,
30 Apr 2019,Help Age,International NGO,Food Security,Provision of cash,MANEPO,"MK25,000 for each beneficiary",Cash,Southern Region,Blantyre,MW305,,,,15-Mar-19,1-May-19,Planned,Emergency Response,5000,,,General population,
30 Apr 2019,Islamic Relief,International NGO,Food Security,Provision of food,Islami Relief Malawi,"1000 food packs each containing 40kgs maize flour, 1 kg soya, 3kgs cowpeas, 2kgs CSB, 1lt cooking oil, 1kg salt.",in-kind,Southern Region,Chikwawa,MW310,TA Makhwira,,"Alinafe CBO, Phimbi and Livunzu camps",11-Mar-19,11-May-19,Ongoing,Emergency Response,5000,,,Affected communities,
30 Apr 2019,Oxfam,International NGO,Food Security,Food Assistance,,top up cash on food provided by MalawiGovernement,Cash,Southern Region,Nsanje,MW311,Bangula,,Bangula,,,Planned,Emergency Response,,,,,
30 Apr 2019,Oxfam,International NGO,Food Security,Agricuture kits,Local partner,"Provision of seeds, fertilizer,",in-kind,Southern Region,Nsanje,MW311,Jenala,,Jenala,25-Mar-19,30-Sep-19,Ongoing,Emergency Response,5000,,,Displaced people,
30 Apr 2019,Welthungerhilfe,International NGO,Food Security,"Food Assistance, NFI",,"27.59 tonnes of maize flour, 4.60 tones dried beans, 460 kg salt, 410 kg fortified Likuni Phala,920 (20litre) plastic buckets, 920 plastic plates, 920 plastic mugs, 920 mosquito nets, 5520 bars of soap, 18,400 black plastic sheeting, 5 (40litre) hygiene buckets",in-kind,Southern Region,Chikwawa,MW310,TA Kasisi,,Mwalija,20-Mar-19,30-Mar-19,Completed,Emergency Response,2066,,,people in camp,
30 Apr 2019,MSF-Belgium,International NGO,Health and HIV AIDS,Mobile Clinics,,Mobile Clinics in Makhanga T/A Mlolo and other camps,in-kind,Southern Region,Nsanje,MW311,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,WHO,UN Agency,Health and HIV AIDS,Outreach clinic done in 13 camps,MOH,"Treatment for acute medical conditions (notably AWD 0, bloody diarrhoea 2, malaria 25, scabies 8, eye infections 48). Chronic care a total of 103 received services (ART 14, hypertension 103, asthma 33, epilepsy 54 diabetes 0). FP, 70 received the services ( Condoms 70, DEPO 15). EPI, 192 children received EPI and growth monitoring services.",in-kind,Southern Region,Phalombe,MW309,,,13 camps,18-Mar-19,22-Mar-19,Completed,Emergency Response,1400,,,,
30 Apr 2019,IRR,International NGO,Health and HIV AIDS,Medical Supplies,MDF & SANDF,Immunization and Medical Screening,In-kind,Southern Region,Nsanje,MW311,TA Mlolo,,"Chapinga School, Phaloni, Chigwamafumu and Chinkhwangwa Camps",,,Completed,Emergency Response,,,,,
30 Apr 2019,Save the Children,International NGO,Protection,Child Protection,,"Orientation of camp Child protection committees, Production and distribution of IEC materials for awareness on CP and Safeguarding",in-kind,Southern Region,Neno,MW313,,,,,,Planned,Emergency Response,,,,,
30 Apr 2019,Trócaire,International NGO,Protection,Dignity Kits,Cadecom Zomba,"Chitenje cloth,
  washing soap,
  reusable pads,
  vaseline,
  toothbrush, towel, bathing soap, underwear, small solar lamps, hairbrush and bucket",in-kind,Southern Region,Zomba,MW303,TA Mwambo,,,15-Mar-19,28-Apr-19,Completed,Emergency Response,450,,,Women and Girls,
30 Apr 2019,Trócaire,International NGO,Protection,Dignity Kits,Cadecom Zomba,,in-kind,Southern Region,Phalombe,MW309,,,Jenala,15-Mar-19,28-Apr-19,Completed,Emergency Response,450,,,Women and Girls,
30 Apr 2019,World Vision International,International NGO,Protection,Child friendly spaces,,Provided a tent with toys as a play area for kids,in-kind,Southern Region,Chikwawa,MW310,TA Ngabu,,,14-Mar-19,,Completed,Emergency Response,300,,,Women and Girls,
30 Apr 2019,DoDMA,Government,Shelter and Camp Management,Distribution of NFIs,,"NFIs (Plastic plates, plastic sheets, blankets and buckets)",in-kind,Southern Region,Nsanje,MW311,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Shelter and Camp Management,Distribution of NFIs,,"NFIs (family tents, plates, cups buckets)",in-kind,Southern Region,Nsanje,MW311,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,GOAL MALAWI,International NGO,Shelter and Camp Management,Shelter materials,,"Tarpaulin, plastic sheets",in-kind,Southern Region,Nsanje,MW311,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,DoDMA,Government,Shelter and Camp Management,NFIs,,"400 blankets, 200 pails, 800 and 200(10 m) plastic sheets",in-kind,Southern Region,Phalombe,MW309,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Shelter and Camp Management,NFIs,,"10 plastic buckets with taps, 10 plastic buckets without taps, 10 rolls of plastic sheets",,Southern Region,Phalombe,MW309,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,Indian Community,Private Company/Institution,Shelter and Camp Management,NFIs,,"400 blankest, 400 blacksheet rolls, 400 (40 litre) basins, 400 small plates, 400 large plates, 400 plastic cups, 400 big spoons, 800 pairs of trousers.",in-kind,Southern Region,Phalombe,MW309,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,Habitat For Humanity Malawi,International NGO,Shelter and Camp Management,Shelter materials,,"600 Emergency Kits which include: 
  600 Tarpulin (15ft x 18ft, or 4.5m x 5.4m); 
  150 Taurpuline ropes (10mm x 10m); 
  600 water collecting buckets,plastic with lid; 
  1200 Soap 100g",in-kind,Southern Region,Chikwawa,MW310,Chikwawa Boma,,,22-Mar-19,23-Mar-19,Completed,Emergency Response,,,,,
30 Apr 2019,Tearfund,International NGO,Agriculture,Distribution of seeds and farming tools,Eagles Relief & Development Programme,"Seeds (maize, cow peas, vegetable seeds)
 Farming tools (Hoe,shovel,panga knife and watering cane)
 Fertilizers",in-kind,Southern Region,Chikwawa,MW310,"TA Ngabu
 Sub-TA Masache",,"TA Ngabu: Chapomoka, Nkhwangwa, Mchanga, Msomo, Mbiya STA Masache: Masache",1-May-19,31-May-19,Planned,Early Recovery,6728,,,Displaced households.,
30 Apr 2019,Tearfund,International NGO,Food Security,Food assistance,Eagles Relief & Development Programme,"50 kg Maize flour, 2 litres cooking oil, 10kg beans, 1 kg salt [per month for 3 months]",in-kind,Southern Region,Chikwawa,MW310,"TA Ngabu
 Sub-TA Masache",,"TA Ngabu: Chapomoka, Nkhwangwa, Mchanga, Msomo, Mbiya STA Masache: Masache",20-Mar-19,31-Jul-19,Ongoing,Emergency Response,6728,,,Displaced households.,
30 Apr 2019,Tearfund,International NGO,Water Sanitation and Hygiene (WASH),Hygiene Kits & temporary latrines,Eagles Relief & Development Programme,"Buckets, chlorine solution, soap, mosquito net, menstrual hygiene management items",in-kind,Southern Region,Chikwawa,MW310,"TA Ngabu
 Sub-TA Masache",,"TA Ngabu: Chapomoka, Nkhwangwa, Mchanga, Msomo, Mbiya STA Masache: Masache",1-May-19,31-Jul-19,Planned,Emergency Response,6728,,,Displaced households.,
30 Apr 2019,Tearfund,International NGO,Shelter and Camp Management,NFIs,Eagles Relief & Development Programme,"Cooking utensils, blankets, wraps",in-kind,Southern Region,Chikwawa,MW310,"TA Ngabu
 Sub-TA Masache",,"TA Ngabu: Chapomoka, Nkhwangwa, Mchanga, Msomo, Mbiya STA Masache: Masache",1-May-19,31-May-19,Planned,Emergency Response,6728,,,Displaced households.,
30 Apr 2019,Tearfund,International NGO,Agriculture,Distribution of seeds and farming tools,Assemblies of God Care,"Seeds (maize, cassava cuttings, sweet potato, vegetable seeds)
 Farming tools (Hoe,shovel,panga knife and watering cane)
 Fertilizers",in-kind,Southern Region,Mangochi,MW301,"TA Chowe
 TA Chimwala","TA Chowe: Imani, Iwole, Nalikole, Mgwali, Mbondo, Mabujali TA Chimwala: Chisawa, Chapola, Changali, Kausi",,1-May-19,31-May-19,Planned,Early Recovery,4000,,,Affected households.,
30 Apr 2019,Tearfund,International NGO,Food Security,Food assistance,Assemblies of God Care,"50 kg Maize flour, 2 litres cooking oil, 10kg beans, 1 kg salt [per month for 3 months]",in-kind,Southern Region,Mangochi,MW301,"TA Chowe
 TA Chimwala","TA Chowe: Imani, Iwole, Nalikole, Mgwali, Mbondo, Mabujali TA Chimwala: Chisawa, Chapola, Changali, Kausi",,1-May-19,31-Jul-19,Planned,Emergency Response,6000,,,Affected households.,
30 Apr 2019,Tearfund,International NGO,Water Sanitation and Hygiene (WASH),Hygiene Kits & temporary latrines,Assemblies of God Care,"Buckets, chlorine solution, soap, menstrual hygiene management items",in-kind,Southern Region,Mangochi,MW301,"TA Chowe
 TA Chimwala","TA Chowe: Imani, Iwole, Nalikole, Mgwali, Mbondo, Mabujali TA Chimwala: Chisawa, Chapola, Changali, Kausi",,1-May-19,31-Jul-19,Planned,Emergency Response,4000,,,Affected households.,
30 Apr 2019,Tearfund,International NGO,Shelter and Camp Management,"Shelter material, NFIs",Assemblies of God Care,"Plastic sheets, cooking utensils, blankets",in-kind,Southern Region,Mangochi,MW301,"TA Chowe
 TA Chimwala","TA Chowe: Imani, Iwole, Nalikole, Mgwali, Mbondo, Mabujali TA Chimwala: Chisawa, Chapola, Changali, Kausi",,1-May-19,31-May-19,Planned,Emergency Response,4000,,,Affected households.,
30 Apr 2019,UNHCR,UN Agency,Shelter and Camp Management,NFIs,,Plastic sheeting; buckets; blankets; cooking utensils & sleeping mats,in-kind,Southern Region,Nsanje,MW311,,,,,,Completed,Emergency Response,60750,,,,
30 Apr 2019,Welthungerhilfe,International NGO,Shelter and Camp Management,shelter kits,,"shelter kit, incl roofing sheets for returnees",in-kind,Southern Region,Chikwawa,MW310,,,,1-Apr-19,30-Apr-19,Completed,Emergency Response,7650,,,,
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,CCCM,,Deploy and train camp managers,in-kind,Southern Region,Chikwawa,MW310,,,,,,Ongoing,Emergency Response,,,,,
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,CCCM,,Deploy and train camp managers,in-kind,Southern Region,Nsanje,MW311,,,,,,Ongoing,Emergency Response,,,,,
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,CCCM,,Deploy and train camp managers,in-kind,Southern Region,Phalombe,MW309,,,,,,Ongoing,Emergency Response,,,,,
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,CCCM,,Deploy and train camp managers,in-kind,Southern Region,Zomba,MW303,,,,,,Ongoing,Emergency Response,,,,,
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,DTM,,"Deploy and train enuimerators, data collectors",in-kind,Southern Region,Chikwawa,MW310,,,,,,Ongoing,Emergency Response,,,,,
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,DTM,,"Deploy and train enuimerators, data collectors",in-kind,Southern Region,Nsanje,MW311,,,,,,Ongoing,Emergency Response,,,,,
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,DTM,,"Deploy and train enuimerators, data collectors",in-kind,Southern Region,Phalombe,MW309,,,,,,Ongoing,Emergency Response,,,,,
